,signature,body,docstring,id
52213,suspend fun ExternalDependenciesResolver.resolveFromAnnotations(annotations: Iterable<Annotation>): ResultWithDiagnostics<List<File>>,"{
    val scriptSourceAnnotations = annotations.map { ScriptSourceAnnotation(it, null) }
    return resolveFromScriptSourceAnnotations(scriptSourceAnnotations)
}","/**

 * An extension function that configures repositories and resolves artifacts denoted by the [Repository] and [DependsOn] annotations

 */",f16455:m151
58119,@kotlin.internal.InlineOnly public inline fun toUShort(): UShort,UShort(data.toShort() and 0xFF),"/**

     * Converts this [UByte] value to [UShort].

     *

     * The resulting `UShort` value represents the same numerical value as this `UByte`.

     *

     * The least significant 8 bits of the resulting `UShort` value are the same as the bits of this `UByte` value,

     * whereas the most significant 8 bits are filled with zeros.

     */",f17059:m615
13780,@kotlin.internal.IntrinsicConstEvaluation public operator fun compareTo(other: Int): Int,this.compareTo(other.toDouble()),"/**

     * Compares this value with the specified value for order.

     * Returns zero if this value is equal to the specified other value, a negative number if it's less than other,

     * or a positive number if it's greater than other.

     */",f3686:m4645
56502,"@Suppress(""EXTENSION_SHADOWED_BY_MEMBER"") @SinceKotlin(""1.9"") @kotlin.internal.InlineOnly public actual inline fun StringBuilder.append(value: Short): StringBuilder",this.append(value.toInt()),"/**

 * Appends the string representation of the specified short [value] to this string builder and returns this instance.

 *

 * The overall effect is exactly as if the [value] were converted to a string by the `value.toString()` method,

 * and then that string was appended to this string builder.

 */",f16890:m43
58968,public inline fun CharSequence.takeLastWhile(predicate: (Char) -> Boolean): CharSequence,"{
    for (index in lastIndex downTo 0) {
        if (!predicate(this[index])) {
            return subSequence(index + 1, length)
        }
    }
    return subSequence(0, length)
}","/**

 * Returns a subsequence of this char sequence containing last characters that satisfy the given [predicate].

 * 

 * @sample samples.text.Strings.take

 */",f17097:m1201
63588,"@SinceKotlin(""1.4"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun CharArray.sort(fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    sortArray(this, fromIndex, toIndex)
}","/**

 * Sorts a range in the array in-place.

 * 

 * @param fromIndex the start of the range (inclusive) to sort, 0 by default.

 * @param toIndex the end of the range (exclusive) to sort, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 * 

 * @sample samples.collections.Arrays.Sorting.sortRangeOfArray

 */",f17396:m5065
30881,inline fun IndentingPrinter.withIndent(block: () -> Unit),"{
    pushIndent()
    block()
    popIndent()
}","/**

 * The text printed within [block] will be indented.

 */",f10789:m121
63272,public actual fun Char.isHighSurrogate(): Boolean,this in Char.MIN_HIGH_SURROGATE .. Char.MAX_HIGH_SURROGATE,"/**

 * Returns `true` if this character is a Unicode high-surrogate code unit (also known as leading-surrogate code unit).

 */",f17357:m39
14826,public actual fun FloatArray.asList(): List<Float>,"{
    return object : AbstractList<Float>(), RandomAccess {
        override val size: Int get() = this@asList.size
    
        override fun isEmpty(): Boolean = this@asList.isEmpty()
    
        override fun contains(element: Float): Boolean = this@asList.any { it.toBits() == element.toBits() }
    
        override fun get(index: Int): Float = this@asList[index]
    
        override fun indexOf(element: Float): Int = this@asList.indexOfFirst { it.toBits() == element.toBits() }
    
        override fun lastIndexOf(element: Float): Int = this@asList.indexOfLast { it.toBits() == element.toBits() }
    }
}","/**

 * Returns a [List] that wraps the original array.

 */",f3831:m351
58687,public infix fun Byte.until(to: Int): IntRange,"{
    if (to <= Int.MIN_VALUE) return IntRange.EMPTY
    return this.toInt() .. (to - 1).toInt()
}","/**

 * Returns a range from this value up to but excluding the specified [to] value.

 * 

 * If the [to] value is less than or equal to `this` value, then the returned range is empty.

 */",f17092:m2215
58515,"@SinceKotlin(""1.7"") public fun UIntProgression.firstOrNull(): UInt?","{
    return if (isEmpty()) null else this.first
}","/**

 * Returns the first element, or `null` if the progression is empty.

 */",f17090:m85
52027,inline fun <R> ResultWithDiagnostics<R>.onFailure(body: (ResultWithDiagnostics<R>) -> Unit): ResultWithDiagnostics<R>,"{
    if (this is ResultWithDiagnostics.Failure) {
        body(this)
    }
    return this
}","/**

 * Chains actions on failure:

 * If receiver is failure - executed [body]

 * otherwise returns the receiver as is

 */",f16426:m385
57289,"@SinceKotlin(""1.3"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun IntArray.copyInto(destination: IntArray, destinationOffset: Int = 0, startIndex: Int = 0, endIndex: Int = size): IntArray","{
    System.arraycopy(this, startIndex, destination, destinationOffset, endIndex - startIndex)
    return destination
}","/**

 * Copies this array or its subrange into the [destination] array and returns that array.

 * 

 * It's allowed to pass the same array in the [destination] and even specify the subrange so that it overlaps with the destination range.

 * 

 * @param destination the array to copy to.

 * @param destinationOffset the position in the [destination] array to copy to, 0 by default.

 * @param startIndex the beginning (inclusive) of the subrange to copy, 0 by default.

 * @param endIndex the end (exclusive) of the subrange to copy, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException or [IllegalArgumentException] when [startIndex] or [endIndex] is out of range of this array indices or when `startIndex > endIndex`.

 * @throws IndexOutOfBoundsException when the subrange doesn't fit into the [destination] array starting at the specified [destinationOffset],

 * or when that index is out of the [destination] array indices range.

 * 

 * @return the [destination] array.

 */",f16970:m1963
43668,private fun filterKgpUtilityPropertiesFromDiagnostic(diagnosticLines: List<String>): List<String>,"{
    val diagnosticWithUtilityPropertiesFiltered = diagnosticLines.filter { line -> !utilityInternalProperties.any { line.startsWith(it) } }
    return if (diagnosticWithUtilityPropertiesFiltered.none { it.startsWith(""kotlin.internal"") }) {
        emptyList()
    } else {
        diagnosticWithUtilityPropertiesFiltered
    }
}","/**

 * Filters from the report all internal utility-properties that KGP uses in tests.

 * If no properties aside from utility-properties were reported, the whole report is hidden

 */",f13475:m291
57312,@kotlin.internal.InlineOnly public actual inline fun <T> Array<T>.copyOf(newSize: Int): Array<T?>,"{
    return java.util.Arrays.copyOf(this, newSize)
}","/**

 * Returns new array which is a copy of the original array, resized to the given [newSize].

 * The copy is either truncated or padded at the end with `null` values if necessary.

 * 

 * - If [newSize] is less than the size of the original array, the copy array is truncated to the [newSize].

 * - If [newSize] is greater than the size of the original array, the extra elements in the copy array are filled with `null` values.

 * 

 * @sample samples.collections.Arrays.CopyOfOperations.resizingCopyOf

 */",f16970:m2643
57212,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.jvm.JvmName(""sumOfBigDecimal"") @kotlin.internal.InlineOnly public inline fun <T> Sequence<T>.sumOf(selector: (T) -> java.math.BigDecimal): java.math.BigDecimal","{
    var sum: java.math.BigDecimal = 0.toBigDecimal()
    for (element in this) {
        sum += selector(element)
    }
    return sum
}","/**

 * Returns the sum of all values produced by [selector] function applied to each element in the sequence.

 *

 * The operation is _terminal_.

 */",f16968:m271
55961,"@SinceKotlin(""1.1"") public inline fun <S, T: S, K> Grouping<T, K>.reduce(operation: (key: K, accumulator: S, element: T) -> S): Map<K, S>","aggregate { key, acc, e, first -> @Suppress(""UNCHECKED_CAST"") if (first) e else operation(key, acc as S, e) }","/**

 * Groups elements from the [Grouping] source by key and applies the reducing [operation] to the elements of each group

 * sequentially starting from the second element of the group,

 * passing the previously accumulated value and the current element as arguments,

 * and stores the results in a new map.

 * An initial value of accumulator is the first element of the group.

 *

 * @param operation a function that is invoked on each subsequent element of the group with the following parameters:

 *  - `key`: the key of the group this element belongs to;

 *  - `accumulator`: the current value of the accumulator of the group;

 *  - `element`: the element from the source being accumulated.

 *

 * @return a [Map] associating the key of each group with the result of accumulating the group elements.

 * @sample samples.collections.Grouping.reduceByMaxVowels

 */",f16820:m383
458,"private fun jumpWithFinally(targetTryDepth: Int, successor: CoroutineBlock, fromNode: JsNode)","{
    if (targetTryDepth < tryStack.size) {
        val tryBlock = tryStack[targetTryDepth]
        currentStatements += exceptionState(tryBlock.catchBlock, fromNode)
    }
    val relativeFinallyPath = relativeFinallyPath(targetTryDepth)
    val fullPath = relativeFinallyPath + successor
    if (fullPath.size > 1) {
        currentStatements += updateFinallyPath(fullPath.drop(1))
    }
    currentStatements += state(fullPath[0], fromNode)
}","/**

     * When we perform break, continue or return, we can leave try blocks, so we should update $exceptionHandler correspondingly.

     * Also, these try blocks can contain finally clauses, therefore we need to update $finallyPath as well.

     */",f156:m445
56333,"@SinceKotlin(""1.3"") @kotlin.internal.InlineOnly public inline operator fun <T, R> R.contains(element: T?): Boolean where T : Any, R : ClosedRange<T>, R : Iterable<T>",element != null && contains(element),"/**

 * Returns `true` if this iterable range contains the specified [element].

 *

 * Always returns `false` if the [element] is `null`.

 */",f16848:m503
54754,"@Suppress(""ACTUAL_WITHOUT_EXPECT"", ""NOTHING_TO_INLINE"") public actual inline operator fun <T> Array<out T>.plus(elements: Array<out T>): Array<T>","{
    return this.asDynamic().concat(elements)
}","/**

 * Returns an array containing all elements of the original array and then all elements of the given [elements] array.

 */",f16713:m2923
58985,public fun CharSequence.toMutableList(): MutableList<Char>,"{
    return toCollection(ArrayList<Char>(length))
}","/**

 * Returns a new [MutableList] filled with all characters of this char sequence.

 */",f17097:m1641
64820,internal fun setAdapter(adapter: dynamic),"{
    if (js(""typeof adapter === 'string'"")) {
        NAME_TO_ADAPTER[adapter]?.let { setAdapter(it.invoke()) } ?: throw IllegalArgumentException(""Unsupported test framework adapter: '$adapter'"")
    } else {
        currentAdapter = adapter
    }
}","/**

 * Overrides current framework adapter with a provided instance of [FrameworkAdapter]. Use in order to support custom test frameworks.

 *

 * Also some string arguments are supported. Use ""qunit"" to set the adapter to [QUnit](https://qunitjs.com/), ""mocha"" for

 * [Mocha](https://mochajs.org/), ""jest"" for [Jest](https://facebook.github.io/jest/),

 * ""jasmine"" for [Jasmine](https://github.com/jasmine/jasmine), and ""auto"" to detect one of those frameworks automatically.

 *

 * If this function is not called, the test framework will be detected automatically (as if ""auto"" was passed).

 *

 */",f17517:m19
7793,protected fun buildSecondStageArgs(klibPath: String),"mutableListOf<String>().apply {
    addArg(""-output"", artifact.canonicalPath)
    addArg(""-produce"", produce.name.lowercase(Locale.getDefault()))
    addArgIfNotNull(""-entry"", entryPoint)
    addAll(buildCommonArgs())
    addFileArgs(""-native-library"", nativeLibraries)
    linkerOpts.forEach { addArg(""-linker-option"", it) }
    addAll(secondStageExtraOpts())
    add(""-Xinclude=${klibPath}"")
}",/** Args passed to the compiler at the second stage of two-stage compilation (producing a final binary from the klib).  */,f3138:m329
54668,"@SinceKotlin(""1.4"") public actual infix fun LongArray?.contentEquals(other: LongArray?): Boolean","{
    return contentEqualsInternal(other)
}","/**

 * Checks if the two specified arrays are *structurally* equal to one another.

 * 

 * Two arrays are considered structurally equal if they have the same size, and elements at corresponding indices are equal.

 * 

 * The arrays are also considered structurally equal if both are `null`.

 * 

 * @param other the array to compare with this array.

 * @return `true` if the two arrays are structurally equal, `false` otherwise.

 * 

 * @sample samples.collections.Arrays.ContentOperations.intArrayContentEquals

 */",f16713:m709
58761,"public inline fun <T, C: MutableCollection<in T>> Sequence<T>.filterIndexedTo(destination: C, predicate: (index: Int, T) -> Boolean): C","{
    forEachIndexed { index, element -> if (predicate(index, element)) destination.add(element) }
    return destination
}","/**

 * Appends all elements matching the given [predicate] to the given [destination].

 * @param [predicate] function that takes the index of an element and the element itself

 * and returns the result of predicate evaluation on the element.

 *

 * The operation is _terminal_.

 * 

 * @sample samples.collections.Collections.Filtering.filterIndexedTo

 */",f17096:m903
16639,internal fun LLFirResolveTarget.resolve(phase: FirResolvePhase),"{
    val session = target.llFirResolvableSession ?: errorWithAttachment(""Resolvable session expected, got '${target.llFirSession::class.java}'"") { withEntry(""firSession"", target.llFirSession) { it.toString() } }
    val lazyDeclarationResolver = session.moduleComponents.firModuleLazyDeclarationResolver
    lazyDeclarationResolver.lazyResolveTarget(this, phase)
}","/**

 * Resolves the target to the specified [phase].

 * The owning session must be a resolvable one.

 */",f4154:m33
10461,fun incrementalRemove(c: Constraint),"{
    val out = c.output()
    c.markUnsatisfied()
    c.removeFromGraph()
    var unsatisfied = removePropagateFrom(out)
    var strength = Strength.REQUIRED
    do {
        for (u in unsatisfied) {
            if (u.strength == strength) this.incrementalAdd(u)
        }
        strength = strength.nextWeaker()
    } while (strength != Strength.WEAKEST)
}","/**

   * Entry point for retracting a constraint. Remove the given

   * constraint and incrementally update the dataflow graph.

   * Details: Retracting the given constraint may allow some currently

   * unsatisfiable downstream constraint to be satisfied. We therefore collect

   * a list of unsatisfied downstream constraints and attempt to

   * satisfy each one in turn. This list is traversed by constraint

   * strength, strongest first, as a heuristic for avoiding

   * unnecessarily adding and then overriding weak constraints.

   * Assume: c is satisfied.

   */",f3476:m1065
14925,"public actual fun CharArray.copyOfRange(fromIndex: Int, toIndex: Int): CharArray","{
    checkCopyOfRangeArguments(fromIndex, toIndex, size)
    return copyOfUninitializedElements(fromIndex, toIndex)
}","/**

 * Returns a new array which is a copy of the specified range of the original array.

 * 

 * @param fromIndex the start of the range (inclusive) to copy.

 * @param toIndex the end of the range (exclusive) to copy.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f3831:m3233
57245,"public fun <T> Array<out T>.binarySearch(element: T, fromIndex: Int = 0, toIndex: Int = size): Int","{
    return java.util.Arrays.binarySearch(this, fromIndex, toIndex, element)
}","/**

 * Searches the array or the range of the array for the provided [element] using the binary search algorithm.

 * The array is expected to be sorted, otherwise the result is undefined.

 * 

 * If the array contains multiple elements equal to the specified [element], there is no guarantee which one will be found.

 * 

 * @param element the to search for.

 * @param fromIndex the start of the range (inclusive) to search in, 0 by default.

 * @param toIndex the end of the range (exclusive) to search in, size of this array by default.

 * 

 * @return the index of the element, if it is contained in the array within the specified range;

 * otherwise, the inverted insertion point `(-insertion point - 1)`.

 * The insertion point is defined as the index at which the element should be inserted,

 * so that the array (or the specified subrange of array) still remains sorted.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f16970:m541
10036,"private fun <Data, Context: PhaseContext> createLlvmDumperAction(): Action<Data, Context>","fun(state: ActionState, data: Data, context: Context) {
    if (state.phase.name in context.config.configuration.getList(KonanConfigKeys.SAVE_LLVM_IR)) {
        val llvmModule = findLlvmModule(data, context)
        if (llvmModule == null) {
            context.messageCollector.report(CompilerMessageSeverity.WARNING, ""Cannot dump LLVM IR ${state.beforeOrAfter.name.lowercase()} ${state.phase.name}"")
            return
        }
        val moduleName: String = llvmModule.getName()
        val output = File(context.config.saveLlvmIrDirectory, ""$moduleName.${state.phase.name}.ll"")
        if (LLVMPrintModuleToFile(llvmModule, output.absolutePath, null) != 0) {
            error(""Can't dump LLVM IR to ${output.absolutePath}"")
        }
    }
}","/**

 * Create action that searches context and data for LLVM IR and dumps it.

 */",f3408:m55
58467,"@SinceKotlin(""1.5"") @kotlin.internal.InlineOnly public inline fun <K, V, R: Any> Map<out K, V>.firstNotNullOfOrNull(transform: (Map.Entry<K, V>) -> R?): R?","{
    for (element in this) {
        val result = transform(element)
        if (result != null) {
            return result
        }
    }
    return null
}","/**

 * Returns the first non-null value produced by [transform] function being applied to entries of this map in iteration order,

 * or `null` if no non-null value was produced.

 * 

 * @sample samples.collections.Collections.Transformations.firstNotNullOf

 */",f17089:m65
52473,"override fun tryToMatch(startIndex: Int, testString: CharSequence, matchResult: MatchResultImpl): Int","{
    children.forEach { if (it.matches(startIndex, testString, matchResult) >= 0) {
        return -1
    } }
    return next.matches(startIndex, testString, matchResult)
}","/** Returns startIndex+shift, the next position to match */",f16517:m101
15405,@Test fun sign_D(),"{
    assertTrue(Double.isNaN(sign(Double.NaN)))
    assertTrue(Double.isNaN(sign(Double.NaN)))
    assertEquals(0.0.toBits(), sign(0.0).toBits())
    assertEquals(+0.0.toBits(), sign(+0.0).toBits())
    assertEquals((-0.0).toBits(), sign(-0.0).toBits())
    assertEquals(1.0, sign(253681.2187962), 0.0)
    assertEquals(-1.0, sign(-125874693.56), 0.0)
    assertEquals(1.0, sign(1.2587E-308), 0.0)
    assertEquals(-1.0, sign(-1.2587E-308), 0.0)
    assertEquals(1.0, sign(Double.MAX_VALUE), 0.0)
    assertEquals(1.0, sign(Double.MIN_VALUE), 0.0)
    assertEquals(-1.0, sign(-Double.MAX_VALUE), 0.0)
    assertEquals(-1.0, sign(-Double.MIN_VALUE), 0.0)
    assertEquals(1.0, sign(Double.POSITIVE_INFINITY), 0.0)
    assertEquals(-1.0, sign(Double.NEGATIVE_INFINITY), 0.0)
}","/**

     * Tests kotlin.math.sign(Double)

     */",f3868:m1163
56231,"@SinceKotlin(""1.5"") @kotlin.internal.InlineOnly @kotlin.internal.IntrinsicConstEvaluation public inline fun Short.floorDiv(other: Int): Int",this.toInt().floorDiv(other),"/** Divides this value by the other value, flooring the result to an integer that is closer to negative infinity. */",f16842:m245
14879,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun BooleanArray.contentToString(): String","{
    return this.contentToString()
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f3831:m1969
56236,"@SinceKotlin(""1.5"") @kotlin.internal.InlineOnly @kotlin.internal.IntrinsicConstEvaluation public inline fun Int.mod(other: Byte): Byte",this.mod(other.toInt()).toByte(),"/**

 * Calculates the remainder of flooring division of this value (dividend) by the other value (divisor).

 *

 * The result is either zero or has the same sign as the _divisor_ and has the absolute value less than the absolute value of the divisor.

 */",f16842:m331
63596,public actual fun DoubleArray.toTypedArray(): Array<Double>,"{
    return Array(size) { index -> this[index] }
}","/**

 * Returns a *typed* object array containing all of the elements of this primitive array.

 */",f17396:m5223
59019,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.internal.InlineOnly public inline fun CharSequence.maxOf(selector: (Char) -> Double): Double","{
    if (isEmpty()) throw NoSuchElementException()
    var maxValue = selector(this[0])
    for (i in 1 .. lastIndex) {
        val v = selector(this[i])
        maxValue = maxOf(maxValue, v)
    }
    return maxValue
}","/**

 * Returns the largest value among all values produced by [selector] function

 * applied to each character in the char sequence.

 * 

 * If any of values produced by [selector] function is `NaN`, the returned result is `NaN`.

 * 

 * @throws NoSuchElementException if the char sequence is empty.

 */",f17097:m2519
57305,@kotlin.internal.InlineOnly public actual inline fun ShortArray.copyOf(newSize: Int): ShortArray,"{
    return java.util.Arrays.copyOf(this, newSize)
}","/**

 * Returns new array which is a copy of the original array, resized to the given [newSize].

 * The copy is either truncated or padded at the end with zero values if necessary.

 * 

 * - If [newSize] is less than the size of the original array, the copy array is truncated to the [newSize].

 * - If [newSize] is greater than the size of the original array, the extra elements in the copy array are filled with zero values.

 * 

 * @sample samples.collections.Arrays.CopyOfOperations.resizedPrimitiveCopyOf

 */",f16970:m2447
16588,internal fun invalidateAfterInBlockModification(declaration: FirDeclaration): Boolean,"when (declaration) {
    is FirSimpleFunction -> declaration.inBodyInvalidation()
    is FirPropertyAccessor -> declaration.inBodyInvalidation()
    is FirProperty -> declaration.inBodyInvalidation()
    is FirCodeFragment -> declaration.inBodyInvalidation()
    else -> errorWithFirSpecificEntries(""Unknown declaration with body"", fir = declaration, psi = declaration.psi)
}","/**

 * Must be called in a write action.

 * @return **false** if it is not in-block modification

 */",f4136:m37
56918,"@SinceKotlin(""1.2"") @kotlin.internal.InlineOnly public inline fun Int.toBigDecimal(mathContext: MathContext): BigDecimal","BigDecimal(this, mathContext)","/**

 * Returns the value of this [Int] number as a [BigDecimal].

 * @param mathContext specifies the precision and the rounding mode.

 */",f16935:m151
64051,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun div(other: Byte): Int,this.toInt() / other.toInt(),"/** Divides this value by the other value, truncating the result to an integer that is closer to zero. */",f17455:m371
58232,@kotlin.internal.InlineOnly public inline operator fun times(other: UByte): ULong,this.times(other.toULong()),/** Multiplies this value by the other value. */,f17066:m199
14888,"@SinceKotlin(""1.4"") public actual fun BooleanArray?.contentToString(): String","{
    return this?.joinToString("", "", ""["", ""]"") ?: ""null""
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f3831:m2157
58165,@kotlin.internal.InlineOnly public inline fun floorDiv(other: UByte): UInt,this.floorDiv(other.toUInt()),"/**

     * Divides this value by the other value, flooring the result to an integer that is closer to negative infinity.

     *

     * For unsigned types, the results of flooring division and truncating division are the same.

     */",f17063:m309
64057,"@SinceKotlin(""1.1"") @kotlin.internal.IntrinsicConstEvaluation public inline operator fun rem(other: Byte): Int",this.toInt() % other.toInt(),"/**

     * Calculates the remainder of truncating division of this value (dividend) by the other value (divisor).

     *

     * The result is either zero or has the same sign as the _dividend_ and has the absolute value less than the absolute value of the divisor.

     */",f17455:m431
53137,"@SinceKotlin(""1.2"") public actual fun Long.toString(radix: Int): String",this.toStringImpl(checkRadix(radix)),"/**

 * Returns a string representation of this [Long] value in the specified [radix].

 *

 * @throws IllegalArgumentException when [radix] is not a valid radix for number to string conversion.

 */",f16618:m253
